freqs [eV],Lambda [1/ps]
0.000000,0.054757
0.002500,0.057858
0.005000,0.067130
0.007500,0.082472
0.010000,0.103691
0.012500,0.130476
0.015000,0.162383
0.017500,0.198817
0.020000,0.239024
0.022500,0.282105
0.025000,0.327084
0.027500,0.373037
0.030000,0.419305
0.032500,0.465709
0.035000,0.512676
0.037500,0.561188
0.040000,0.612515
0.042500,0.667812
0.045000,0.727697
0.047500,0.791973
0.050000,0.859573
0.052500,0.928755
0.055000,0.997456
0.057500,1.063724
0.060000,1.126099
0.062500,1.183903
0.065000,1.237433
0.067500,1.288110
0.070000,1.338624
0.072500,1.393027
0.075000,1.456600
0.077500,1.535285
0.080000,1.634561
0.082500,1.757857
0.085000,1.904958
0.087500,2.070994
0.090000,2.246580
0.092500,2.419288
0.095000,2.576095
0.097500,2.706037
0.100000,2.802160
0.102500,2.862192
0.105000,2.887918
0.107500,2.883735
0.110000,2.855067
0.112500,2.807203
0.115000,2.744773
0.117500,2.671817
0.120000,2.592185
0.122500,2.509968
0.125000,2.429674
0.127500,2.355993
0.130000,2.293207
0.132500,2.244531
0.135000,2.211746
0.137500,2.195313
0.140000,2.194807
0.142500,2.209258
0.145000,2.237027
0.147500,2.275257
0.150000,2.319335
0.152500,2.362997
0.155000,2.399392
0.157500,2.422848
0.160000,2.430621
0.162500,2.423782
0.165000,2.406807
0.167500,2.386010
0.170000,2.367478
0.172500,2.355285
0.175000,2.350583
0.177500,2.351725
0.180000,2.355193
0.182500,2.356904
0.185000,2.353422
0.187500,2.342789
0.190000,2.324822
0.192500,2.300906
0.195000,2.273383
0.197500,2.244719
0.200000,2.216662
0.202500,2.189703
0.205000,2.163033
0.207500,2.135092
0.210000,2.104484
0.212500,2.070868
0.215000,2.035361
0.217500,2.000294
0.220000,1.968440
0.222500,1.942157
0.225000,1.922879
0.227500,1.911143
0.230000,1.907049
0.232500,1.910801
0.235000,1.923004
0.237500,1.944539
0.240000,1.976135
0.242500,2.017891
0.245000,2.069048
0.247500,2.128177
0.250000,2.193711
0.252500,2.264525
0.255000,2.340166
0.257500,2.420476
0.260000,2.504617
0.262500,2.589917
0.265000,2.671163
0.267500,2.740907
0.270000,2.790953
0.272500,2.814625
0.275000,2.808997
0.277500,2.776169
0.280000,2.722986
0.282500,2.659238
0.285000,2.594977
0.287500,2.537944
0.290000,2.492032
0.292500,2.457238
0.295000,2.430953
0.297500,2.409890
0.300000,2.391809
0.302500,2.376440
0.305000,2.365451
0.307500,2.361726
0.310000,2.368334
0.312500,2.387478
0.315000,2.419522
0.317500,2.462240
0.320000,2.510492
0.322500,2.556662
0.325000,2.591962
0.327500,2.608364
0.330000,2.600522
0.332500,2.567051
0.335000,2.510819
0.337500,2.438377
0.340000,2.358917
0.342500,2.283065
0.345000,2.221605
0.347500,2.184040
0.350000,2.177043
0.352500,2.203143
0.355000,2.260207
0.357500,2.342112
0.360000,2.440503
0.362500,2.546949
0.365000,2.654583
0.367500,2.758591
0.370000,2.855637
0.372500,2.942932
0.375000,3.017797
0.377500,3.078064
0.380000,3.122922
0.382500,3.153363
0.385000,3.171598
0.387500,3.179582
0.390000,3.177538
0.392500,3.163491
0.395000,3.134265
0.397500,3.087452
0.400000,3.023238
0.402500,2.945061
0.405000,2.858803
0.407500,2.771042
0.410000,2.687318
0.412500,2.611197
0.415000,2.544335
0.417500,2.487210
0.420000,2.439979
0.422500,2.403022
0.425000,2.377059
0.427500,2.362918
0.430000,2.361147
0.432500,2.371670
0.435000,2.393667
0.437500,2.425791
0.440000,2.466741
0.442500,2.515967
0.445000,2.574122
0.447500,2.642821
0.450000,2.723586
0.452500,2.816211
0.455000,2.917246
0.457500,3.019377
0.460000,3.112209
0.462500,3.184427
0.465000,3.226696
0.467500,3.234330
0.470000,3.208763
0.472500,3.157265
0.475000,3.090925
0.477500,3.021490
0.480000,2.958071
0.482500,2.904771
0.485000,2.860047
0.487500,2.818005
0.490000,2.771180
0.492500,2.713787
0.495000,2.644306
0.497500,2.566523
0.500000,2.488818
0.502500,2.422117
0.505000,2.377383
0.507500,2.363515
0.510000,2.386146
0.512500,2.447310
0.515000,2.545515
0.517500,2.675692
0.520000,2.828849
0.522500,2.991801
0.525000,3.147686
0.527500,3.277886
0.530000,3.365319
0.532500,3.398291
0.535000,3.373589
0.537500,3.297629
0.540000,3.185153
0.542500,3.055882
0.545000,2.930179
0.547500,2.824994
0.550000,2.751112
0.552500,2.712151
0.555000,2.705215
0.557500,2.722674
0.560000,2.754364
0.562500,2.789638
0.565000,2.818932
0.567500,2.834815
0.570000,2.832608
0.572500,2.810688
0.575000,2.770482
0.577500,2.716084
0.580000,2.653446
0.582500,2.589210
0.585000,2.529445
0.587500,2.478604
0.590000,2.439005
0.592500,2.410887
0.595000,2.392876
0.597500,2.382548
0.600000,2.376848
0.602500,2.372332
0.605000,2.365418
0.607500,2.352849
0.610000,2.332462
0.612500,2.304090
0.615000,2.270237
0.617500,2.236222
0.620000,2.209628
0.622500,2.199235
0.625000,2.213736
0.627500,2.260557
0.630000,2.344921
0.632500,2.469110
0.635000,2.631803
0.637500,2.827441
0.640000,3.045725
0.642500,3.271572
0.645000,3.485897
0.647500,3.667550
0.650000,3.796415
0.652500,3.857230
0.655000,3.843187
0.657500,3.758122
0.660000,3.616315
0.662500,3.439614
0.665000,3.252609
0.667500,3.077323
0.670000,2.929082
0.672500,2.814699
0.675000,2.733158
0.677500,2.678059
0.680000,2.640677
0.682500,2.612597
0.685000,2.587402
0.687500,2.561375
0.690000,2.533427
0.692500,2.504506
0.695000,2.476663
0.697500,2.452009
0.700000,2.431809
0.702500,2.416013
0.705000,2.403381
0.707500,2.392104
0.710000,2.380639
0.712500,2.368379
0.715000,2.355900
0.717500,2.344681
0.720000,2.336437
0.722500,2.332321
0.725000,2.332350
0.727500,2.335346
0.730000,2.339454
0.732500,2.343095
0.735000,2.345927
0.737500,2.349385
0.740000,2.356541
0.742500,2.371316
0.745000,2.397331
0.747500,2.436809
0.750000,2.489818
0.752500,2.554016
0.755000,2.624870
0.757500,2.696255
0.760000,2.761320
0.762500,2.813515
0.765000,2.847646
0.767500,2.860788
0.770000,2.852812
0.772500,2.826342
0.775000,2.786089
0.777500,2.737698
0.780000,2.686463
0.782500,2.636292
0.785000,2.589221
0.787500,2.545533
0.790000,2.504381
0.792500,2.464604
0.795000,2.425509
0.797500,2.387372
0.800000,2.351579
0.802500,2.320404
0.805000,2.296548
0.807500,2.282607
0.810000,2.280648
0.812500,2.291980
0.815000,2.317071
